X,Y,Z,TIPO_CELULAR,VOLUMEN_mm3
84.25189090429681,159.1840404617775,32.36286,EPITHELIAL,2.4942574383973486e-06
84.23506490429682,159.21318394866563,32.36286,EPITHELIAL,2.4942574383973486e-06
84.21823890429683,159.24232743555376,32.36286,EPITHELIAL,2.4942574383973486e-06
84.25189090429681,159.24232743555376,32.36286,EPITHELIAL,2.4942574383973486e-06
84.20141290429683,159.2714709224419,32.36286,EPITHELIAL,2.4942574383973486e-06
84.23506490429682,159.2714709224419,32.36286,EPITHELIAL,2.4942574383973486e-06
84.18458690429684,159.30061440933002,32.36286,EPITHELIAL,2.4942574383973486e-06
84.21823890429683,159.30061440933002,32.36286,EPITHELIAL,2.4942574383973486e-06
84.25189090429681,159.30061440933002,32.36286,EPITHELIAL,2.4942574383973486e-06
84.16776090429684,159.32975789621815,32.36286,EPITHELIAL,2.4942574383973486e-06
84.20141290429683,159.32975789621815,32.36286,EPITHELIAL,2.4942574383973486e-06
84.23506490429682,159.32975789621815,32.36286,EPITHELIAL,2.4942574383973486e-06
84.16776090429684,159.35890138310629,32.36286,EPITHELIAL,2.4942574383973486e-06
84.20141290429683,159.35890138310629,32.36286,EPITHELIAL,2.4942574383973486e-06
84.23506490429682,159.35890138310629,32.36286,EPITHELIAL,2.4942574383973486e-06
84.15093490429685,159.38804486999442,32.36286,EPITHELIAL,2.4942574383973486e-06
84.18458690429684,159.38804486999442,32.36286,EPITHELIAL,2.4942574383973486e-06
84.21823890429683,159.38804486999442,32.36286,EPITHELIAL,2.4942574383973486e-06
84.25189090429681,159.38804486999442,32.36286,EPITHELIAL,2.4942574383973486e-06
84.13410890429685,159.41718835688255,32.36286,EPITHELIAL,2.4942574383973486e-06
84.16776090429684,159.41718835688255,32.36286,EPITHELIAL,2.4942574383973486e-06
84.20141290429683,159.41718835688255,32.36286,EPITHELIAL,2.4942574383973486e-06
84.23506490429682,159.41718835688255,32.36286,EPITHELIAL,2.4942574383973486e-06
84.11728290429686,159.44633184377068,32.36286,EPITHELIAL,2.4942574383973486e-06
84.15093490429685,159.44633184377068,32.36286,EPITHELIAL,2.4942574383973486e-06
84.18458690429684,159.44633184377068,32.36286,EPITHELIAL,2.4942574383973486e-06
84.21823890429683,159.44633184377068,32.36286,EPITHELIAL,2.4942574383973486e-06
84.25189090429681,159.44633184377068,32.36286,EPITHELIAL,2.4942574383973486e-06
84.10045690429686,159.4754753306588,32.36286,EPITHELIAL,2.4942574383973486e-06
84.13410890429685,159.4754753306588,32.36286,EPITHELIAL,2.4942574383973486e-06
84.16776090429684,159.4754753306588,32.36286,EPITHELIAL,2.4942574383973486e-06
84.20141290429683,159.4754753306588,32.36286,EPITHELIAL,2.4942574383973486e-06
84.23506490429682,159.4754753306588,32.36286,EPITHELIAL,2.4942574383973486e-06
84.08363090429687,159.50461881754694,32.36286,EPITHELIAL,2.4942574383973486e-06
84.11728290429686,159.50461881754694,32.36286,EPITHELIAL,2.4942574383973486e-06
84.15093490429685,159.50461881754694,32.36286,EPITHELIAL,2.4942574383973486e-06
84.18458690429684,159.50461881754694,32.36286,EPITHELIAL,2.4942574383973486e-06
84.21823890429683,159.50461881754694,32.36286,EPITHELIAL,2.4942574383973486e-06
84.25189090429681,159.50461881754694,32.36286,EPITHELIAL,2.4942574383973486e-06
84.06680490429687,159.53376230443507,32.36286,EPITHELIAL,2.4942574383973486e-06
84.10045690429686,159.53376230443507,32.36286,EPITHELIAL,2.4942574383973486e-06
84.13410890429685,159.53376230443507,32.36286,EPITHELIAL,2.4942574383973486e-06
84.16776090429684,159.53376230443507,32.36286,EPITHELIAL,2.4942574383973486e-06
84.20141290429683,159.53376230443507,32.36286,EPITHELIAL,2.4942574383973486e-06
