ID,state
0,<nil>
1,<nil>
2,<nil>
3,<nil>
4,<nil>
5,<nil>
6,<nil>
7,<nil>
8,<nil>
9,<nil>
10,<nil>
11,<nil>
12,<nil>
13,<nil>
14,Virus_inside
15,Virus_inside -- Virus_replication
16,Virus_inside -- Virus_replication -- Chemokin_secretion
17,Virus_inside -- Virus_replication -- Chemokin_secretion
18,Virus_inside -- Virus_replication -- Chemokin_secretion
2461,<nil>
20,Virus_inside -- Virus_replication -- Chemokin_secretion
6231,<nil>
6273,<nil>
1862,<nil>
24,Virus_inside -- Virus_replication -- Chemokin_secretion
25,Virus_inside -- Virus_replication -- Chemokin_secretion
5229,Active
6721,Active
2720,Virus_inside -- Virus_replication -- Chemokin_secretion
4980,Active
6017,Active
5866,Apoptotic_cell -- M2_Phenotype -- Active
2161,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
33,Virus_inside -- Virus_replication -- Chemokin_secretion
6599,<nil>
35,Virus_inside -- Virus_replication -- Chemokin_secretion
6500,<nil>
6704,<nil>
5797,Active
6653,CD8_Tcell_activation -- Phagocytosis -- Apoptotic_cell -- M2_Phenotype -- Active
40,Virus_inside -- Virus_replication -- Chemokin_secretion
41,Virus_inside -- Virus_replication -- Chemokin_secretion
42,Virus_inside -- Virus_replication -- Chemokin_secretion
43,Virus_inside -- Virus_replication -- Chemokin_secretion
6647,<nil>
45,<nil>
46,<nil>
47,<nil>
48,<nil>
49,<nil>
50,<nil>
51,<nil>
52,<nil>
53,<nil>
54,<nil>
55,<nil>
56,<nil>
57,<nil>
58,<nil>
59,<nil>
60,<nil>
61,<nil>
62,<nil>
63,Virus_inside -- Virus_replication
64,Virus_inside -- Virus_replication -- Chemokin_secretion
65,Virus_inside -- Virus_replication -- Chemokin_secretion
66,Virus_inside -- Virus_replication -- Chemokin_secretion
67,Virus_inside -- Virus_replication -- Chemokin_secretion
68,Virus_inside -- Virus_replication -- Chemokin_secretion
6210,<nil>
6605,<nil>
71,Virus_inside -- Virus_replication -- Chemokin_secretion
6072,<nil>
73,Virus_inside -- Virus_replication -- Chemokin_secretion
6491,Active
6394,Active
6495,<nil>
5381,Apoptotic_cell -- M2_Phenotype -- Active
2675,Virus_inside -- Virus_replication
2007,<nil>
80,Virus_inside -- Virus_replication -- Chemokin_secretion
6789,<nil>
5772,<nil>
83,Virus_inside -- Virus_replication -- Chemokin_secretion
2631,Virus_inside
5637,Active
5115,<nil>
5625,Apoptotic_cell -- M2_Phenotype -- Active
5515,Apoptotic_cell -- M2_Phenotype -- Active
5678,<nil>
5855,<nil>
91,Virus_inside -- Virus_replication -- Chemokin_secretion
92,Virus_inside -- Virus_replication -- Chemokin_secretion
93,Virus_inside -- Virus_replication -- Chemokin_secretion
94,Virus_inside -- Virus_replication -- Chemokin_secretion
95,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
96,<nil>
97,<nil>
98,<nil>
99,<nil>
100,<nil>
101,<nil>
102,<nil>
103,<nil>
104,<nil>
105,<nil>
106,<nil>
107,<nil>
108,<nil>
109,<nil>
110,<nil>
111,<nil>
112,<nil>
113,Virus_inside -- Virus_replication -- Chemokin_secretion
114,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
6127,<nil>
116,Virus_inside -- Virus_replication -- Chemokin_secretion
6587,<nil>
3225,<nil>
6735,<nil>
6558,Active
6507,<nil>
6555,<nil>
6803,<nil>
6627,<nil>
5695,<nil>
6590,<nil>
2644,<nil>
6460,CD8_Tcell_activation -- Phagocytosis -- Apoptotic_cell -- Active
6151,Phagocytosis -- Apoptotic_cell
2490,Virus_inside -- Virus_replication -- Chemokin_secretion
5749,<nil>
6429,<nil>
6596,Active
4584,Apoptotic_cell -- M2_Phenotype -- Active
6560,Active
1957,<nil>
6424,<nil>
6716,<nil>
5996,<nil>
6083,Apoptotic_cell -- M2_Phenotype -- Active
5791,Apoptotic_cell -- M2_Phenotype -- Active
1866,Virus_inside -- Virus_replication -- Chemokin_secretion
143,Virus_inside -- Virus_replication -- Chemokin_secretion
144,<nil>
145,Virus_inside
146,<nil>
147,<nil>
148,<nil>
149,<nil>
150,<nil>
151,<nil>
152,<nil>
153,<nil>
154,<nil>
155,<nil>
156,<nil>
157,<nil>
158,<nil>
159,<nil>
160,<nil>
161,Virus_inside -- Virus_replication -- Chemokin_secretion
162,Virus_inside -- Virus_replication -- Chemokin_secretion
163,Virus_inside -- Virus_replication -- Chemokin_secretion
164,Virus_inside -- Virus_replication -- Chemokin_secretion
165,Virus_inside -- Virus_replication -- Chemokin_secretion
2154,<nil>
6337,<nil>
6678,Phagocytosis -- Apoptotic_cell
6237,<nil>
6114,<nil>
6646,<nil>
2254,<nil>
6810,<nil>
5409,Apoptotic_cell -- M2_Phenotype -- Active
6570,<nil>
2060,<nil>
2204,<nil>
6033,<nil>
6468,<nil>
6777,<nil>
6561,<nil>
2598,<nil>
6584,Active
2107,<nil>
6200,<nil>
6304,Active
187,Virus_inside -- Virus_replication -- Chemokin_secretion
6619,<nil>
189,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached -- Apoptosis_type_II
190,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
191,Virus_inside -- Virus_replication -- Chemokin_secretion
192,<nil>
193,Virus_inside -- Virus_replication
194,<nil>
195,<nil>
196,<nil>
197,<nil>
198,<nil>
199,<nil>
200,<nil>
201,<nil>
202,<nil>
203,<nil>
204,<nil>
205,<nil>
206,<nil>
207,<nil>
208,<nil>
209,Virus_inside -- Virus_replication -- Chemokin_secretion
210,Virus_inside -- Virus_replication -- Chemokin_secretion
6738,<nil>
212,Virus_inside -- Virus_replication -- Chemokin_secretion
6591,<nil>
214,Virus_inside -- Virus_replication -- Chemokin_secretion -- Apoptosis_type_II
1910,<nil>
2057,<nil>
2773,<nil>
2584,Virus_inside -- Virus_replication -- Chemokin_secretion
6602,<nil>
2653,<nil>
6608,<nil>
6719,Phagocytosis -- Apoptotic_cell
1965,Virus_inside -- Virus_replication -- Chemokin_secretion
6313,<nil>
5747,Apoptotic_cell -- M2_Phenotype -- Active
2399,<nil>
6023,<nil>
6563,<nil>
5123,Phagocytosis -- Apoptotic_cell -- Active
6564,<nil>
2602,<nil>
2438,Virus_inside -- Virus_replication -- Chemokin_secretion
2401,<nil>
2537,Virus_inside -- Virus_replication -- Chemokin_secretion
5991,CD8_Tcell_activation -- Apoptotic_cell -- M2_Phenotype -- Active
5719,<nil>
237,Virus_inside -- Virus_replication -- Chemokin_secretion
238,Virus_inside -- Virus_replication -- Chemokin_secretion
6642,<nil>
240,Virus_inside -- Virus_replication -- Chemokin_secretion
241,<nil>
242,<nil>
243,Virus_inside
244,<nil>
245,<nil>
246,<nil>
247,<nil>
248,<nil>
249,<nil>
250,<nil>
251,<nil>
252,<nil>
253,<nil>
254,<nil>
255,<nil>
256,<nil>
257,<nil>
258,Virus_inside -- Virus_replication -- Chemokin_secretion
259,Virus_inside -- Virus_replication -- Chemokin_secretion
260,Virus_inside -- Virus_replication -- Chemokin_secretion
6473,Phagocytosis -- Apoptotic_cell -- Active
6278,Active
5966,<nil>
6095,<nil>
5958,<nil>
2788,<nil>
5879,<nil>
2447,<nil>
6198,Phagocytosis -- Apoptotic_cell -- Active
2507,<nil>
2261,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
6060,Active
2775,<nil>
5709,Phagocytosis -- Apoptotic_cell -- Active
5660,<nil>
5998,<nil>
6748,<nil>
5310,Apoptotic_cell -- M2_Phenotype -- Active
6149,<nil>
5542,<nil>
2365,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
5179,<nil>
2307,<nil>
2237,Virus_inside -- Virus_replication -- Chemokin_secretion
285,<nil>
286,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
287,Virus_inside -- Virus_replication -- Chemokin_secretion
288,<nil>
6747,Active
290,<nil>
291,<nil>
292,<nil>
293,<nil>
294,<nil>
295,<nil>
296,<nil>
297,<nil>
298,<nil>
299,<nil>
300,<nil>
301,<nil>
302,<nil>
303,Virus_inside -- Virus_replication -- Chemokin_secretion
304,<nil>
305,<nil>
306,<nil>
307,<nil>
308,Virus_inside -- Virus_replication -- Chemokin_secretion
309,Virus_inside -- Virus_replication -- Chemokin_secretion
310,Virus_inside -- Virus_replication -- Chemokin_secretion
