ID,state
0,<nil>
1,<nil>
2,<nil>
3,<nil>
4,<nil>
5,<nil>
6,<nil>
7,<nil>
8,<nil>
9,<nil>
10,<nil>
11,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
8533,<nil>
13,<nil>
8219,Active
15,Virus_inside -- Virus_replication -- Chemokin_secretion
16,Virus_inside -- Virus_replication -- Chemokin_secretion
8584,<nil>
18,Virus_inside -- Virus_replication -- Chemokin_secretion
8412,<nil>
20,Virus_inside -- Virus_replication -- Chemokin_secretion
6231,<nil>
6273,<nil>
7819,<nil>
7874,<nil>
7096,Active
7073,<nil>
6721,Active
6966,<nil>
8054,Active
7783,CD8_Tcell_activation -- Phagocytosis -- Apoptotic_cell
5866,Apoptotic_cell -- M2_Phenotype -- Active
7756,<nil>
7355,<nil>
7971,<nil>
7857,<nil>
6500,<nil>
6704,<nil>
8244,Active
7235,Active
7940,Active
7754,Active
7900,<nil>
8474,<nil>
8082,Active
8442,Active
8505,<nil>
8053,<nil>
8439,<nil>
49,<nil>
50,<nil>
51,<nil>
52,<nil>
53,<nil>
54,<nil>
55,<nil>
56,<nil>
57,<nil>
58,<nil>
59,<nil>
60,<nil>
61,<nil>
8310,Active
8595,<nil>
8499,<nil>
65,Virus_inside -- Virus_replication -- Chemokin_secretion
66,Virus_inside -- Virus_replication -- Chemokin_secretion
67,Virus_inside -- Virus_replication -- Chemokin_secretion
7160,<nil>
6210,<nil>
6999,<nil>
7777,<nil>
8605,<nil>
7341,<nil>
6491,Active
7095,<nil>
6495,<nil>
5381,Apoptotic_cell -- M2_Phenotype -- Active
7171,<nil>
7115,Apoptotic_cell -- M2_Phenotype -- Active
80,Virus_inside -- Virus_replication -- Chemokin_secretion
8372,Phagocytosis -- Apoptotic_cell -- Active
7938,<nil>
8523,<nil>
8240,Active
5637,Active
8364,Phagocytosis -- Apoptotic_cell
5625,Apoptotic_cell -- M2_Phenotype -- Active
7444,<nil>
7644,Active
8108,<nil>
7775,<nil>
8052,<nil>
8512,Active
8293,<nil>
8550,Active
7894,<nil>
97,Virus_inside -- Virus_replication -- Chemokin_secretion
98,<nil>
99,<nil>
100,<nil>
101,<nil>
102,<nil>
103,<nil>
104,<nil>
105,<nil>
106,<nil>
107,<nil>
108,<nil>
109,<nil>
110,<nil>
8291,<nil>
8001,Active
7288,<nil>
7349,<nil>
8048,<nil>
7165,<nil>
6587,<nil>
7220,Active
6735,<nil>
7727,<nil>
7678,<nil>
8341,<nil>
8369,Active
6627,<nil>
7731,Phagocytosis -- Apoptotic_cell
6590,<nil>
2644,<nil>
6460,Apoptotic_cell -- M2_Phenotype -- Active
6151,Apoptotic_cell -- M2_Phenotype -- Active
2490,Virus_inside -- Virus_replication -- Chemokin_secretion
5749,<nil>
8553,Phagocytosis -- Apoptotic_cell
8096,Active
7281,<nil>
8297,<nil>
1957,<nil>
6424,<nil>
7043,<nil>
5996,<nil>
7296,<nil>
5791,Apoptotic_cell -- M2_Phenotype -- Active
8422,<nil>
7169,Apoptotic_cell -- M2_Phenotype -- Active
8196,Phagocytosis -- Apoptotic_cell
8120,Active
8356,Active
147,<nil>
148,<nil>
149,<nil>
150,<nil>
151,<nil>
152,<nil>
153,<nil>
154,<nil>
155,Virus_inside -- Virus_replication
8078,<nil>
157,Virus_inside -- Virus_replication -- Chemokin_secretion
158,<nil>
159,<nil>
7677,<nil>
7352,Apoptotic_cell -- M2_Phenotype -- Active
7446,Phagocytosis -- Apoptotic_cell -- Active
8150,Active
7746,Active
7046,<nil>
2154,<nil>
7974,Phagocytosis -- Apoptotic_cell
6678,Apoptotic_cell -- M2_Phenotype -- Active
6237,<nil>
6114,<nil>
6646,<nil>
2254,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached -- Apoptosis_type_I
7963,<nil>
5409,Apoptotic_cell -- M2_Phenotype -- Active
7813,Active
8213,Active
2204,<nil>
6033,<nil>
7680,Active
7853,<nil>
7372,Phagocytosis -- Apoptotic_cell
2598,<nil>
6584,Active
8451,<nil>
6200,<nil>
6304,Active
8420,CD8_Tcell_activation -- Phagocytosis -- Apoptotic_cell -- Active
8534,<nil>
8573,<nil>
7696,<nil>
6917,Active
7914,<nil>
7859,<nil>
7788,Active
195,<nil>
196,<nil>
197,<nil>
198,<nil>
199,<nil>
8401,<nil>
201,<nil>
202,<nil>
203,<nil>
204,<nil>
205,Virus_inside -- Virus_replication -- Chemokin_secretion
8102,Active
8383,Active
8317,<nil>
7876,<nil>
7676,<nil>
7108,<nil>
7979,Active
7748,<nil>
8577,Active
1910,<nil>
2057,<nil>
2773,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
7181,Apoptotic_cell -- M2_Phenotype -- Active
8284,Apoptotic_cell -- M2_Phenotype -- Active
2653,<nil>
7416,<nil>
8448,Phagocytosis -- Apoptotic_cell
7306,<nil>
6313,<nil>
8520,<nil>
2399,<nil>
8493,Phagocytosis -- Apoptotic_cell
6563,<nil>
5123,CD8_Tcell_activation -- Apoptotic_cell -- M2_Phenotype -- Active
6564,<nil>
2602,<nil>
8559,<nil>
2401,<nil>
2537,Virus_inside -- Virus_replication -- Chemokin_secretion
5991,Apoptotic_cell -- M2_Phenotype -- Active
8391,Apoptotic_cell -- M2_Phenotype -- Active
7962,Active
7312,<nil>
8335,<nil>
7135,<nil>
8329,<nil>
242,<nil>
7652,<nil>
244,<nil>
245,<nil>
246,<nil>
247,<nil>
248,<nil>
249,<nil>
250,<nil>
251,<nil>
252,<nil>
8526,Phagocytosis -- Apoptotic_cell
254,<nil>
8121,<nil>
8542,<nil>
7951,<nil>
7315,Active
7828,<nil>
8373,Active
7556,Apoptotic_cell -- M2_Phenotype -- Active
7004,<nil>
5966,<nil>
8429,<nil>
7481,Phagocytosis -- Apoptotic_cell
2788,<nil>
5879,<nil>
2447,<nil>
7590,Active
8428,<nil>
6949,<nil>
6060,Active
2775,Virus_inside -- Virus_replication
8522,Active
8170,<nil>
5998,<nil>
6748,<nil>
8081,Phagocytosis -- Apoptotic_cell
8393,<nil>
8570,Active
7593,Phagocytosis -- Apoptotic_cell
7939,<nil>
7855,<nil>
7458,Phagocytosis -- Apoptotic_cell -- Active
7568,Active
7960,<nil>
8019,<nil>
8188,<nil>
8287,Active
7285,<nil>
8204,<nil>
292,<nil>
293,<nil>
294,<nil>
295,<nil>
296,<nil>
297,<nil>
298,<nil>
8220,<nil>
300,<nil>
8025,Active
8608,<nil>
8024,<nil>
7973,<nil>
7912,Apoptotic_cell -- M2_Phenotype -- Active
306,Virus_inside -- Virus_replication -- Chemokin_secretion
8226,<nil>
308,Virus_inside -- Virus_replication -- Chemokin_secretion
8589,<nil>
7459,Active
6852,<nil>
8303,<nil>
7460,<nil>
7765,<nil>
8353,<nil>
7922,<nil>
8508,Active
5245,<nil>
7298,<nil>
7503,Active
7740,<nil>
5222,Active
8536,<nil>
6180,<nil>
5917,Active
8197,Active
8065,<nil>
8212,Phagocytosis -- Apoptotic_cell
6059,<nil>
7440,Active
8574,Phagocytosis -- Apoptotic_cell
2454,<nil>
2545,<nil>
8500,<nil>
8446,<nil>
7499,<nil>
7610,<nil>
8472,Phagocytosis -- Apoptotic_cell
339,<nil>
340,<nil>
8368,Phagocytosis -- Apoptotic_cell
342,<nil>
343,<nil>
344,<nil>
345,<nil>
346,Virus_inside
347,<nil>
7540,<nil>
8229,<nil>
7675,<nil>
7726,<nil>
8099,<nil>
8416,<nil>
354,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
6996,<nil>
8334,<nil>
8255,<nil>
7995,<nil>
8126,<nil>
7633,<nil>
6516,Active
6736,Apoptotic_cell -- M2_Phenotype -- Active
7045,Phagocytosis -- Apoptotic_cell
2553,<nil>
7583,<nil>
5693,Active
2354,<nil>
8059,<nil>
2355,<nil>
6376,<nil>
7634,Active
8031,<nil>
2699,<nil>
6529,<nil>
3848,Apoptotic_cell -- M2_Phenotype -- Active
2056,<nil>
6367,<nil>
6872,Active
6809,<nil>
8236,<nil>
8267,<nil>
1859,<nil>
8159,<nil>
7558,<nil>
385,Virus_inside -- Virus_replication -- Chemokin_secretion
8538,<nil>
387,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
388,<nil>
389,<nil>
390,<nil>
391,<nil>
392,<nil>
393,<nil>
394,<nil>
395,<nil>
396,<nil>
8316,<nil>
6865,<nil>
