ID,state
0,<nil>
1,<nil>
2,<nil>
3,<nil>
4,<nil>
5,<nil>
6,<nil>
7,<nil>
8,<nil>
9,<nil>
10,<nil>
11,<nil>
12,Virus_inside -- Virus_replication -- Chemokin_secretion
13,<nil>
7224,<nil>
15,Virus_inside -- Virus_replication -- Chemokin_secretion
16,Virus_inside -- Virus_replication -- Chemokin_secretion
7366,<nil>
18,Virus_inside -- Virus_replication -- Chemokin_secretion
7482,Active
20,Virus_inside -- Virus_replication -- Chemokin_secretion
6231,<nil>
6273,<nil>
1862,Virus_inside -- Virus_replication
7299,<nil>
7096,Active
7073,<nil>
6721,Active
6966,<nil>
4980,Active
6017,Active
5866,Apoptotic_cell -- M2_Phenotype -- Active
7356,<nil>
7355,<nil>
6599,<nil>
35,Virus_inside -- Virus_replication -- Chemokin_secretion
6500,<nil>
6704,<nil>
6828,<nil>
7235,Active
7090,<nil>
41,Virus_inside -- Virus_replication -- Chemokin_secretion
7265,<nil>
43,Virus_inside -- Virus_replication -- Chemokin_secretion
6926,Apoptotic_cell -- M2_Phenotype -- Active
45,Virus_inside -- Virus_replication -- Chemokin_secretion
46,<nil>
47,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
48,<nil>
49,<nil>
50,<nil>
51,<nil>
52,<nil>
53,<nil>
54,<nil>
55,<nil>
56,<nil>
57,<nil>
58,<nil>
59,<nil>
60,<nil>
61,<nil>
62,Virus_inside -- Virus_replication -- Chemokin_secretion
63,Virus_inside -- Virus_replication -- Chemokin_secretion -- Apoptosis_type_II
64,Virus_inside -- Virus_replication -- Chemokin_secretion
65,Virus_inside -- Virus_replication -- Chemokin_secretion
66,Virus_inside -- Virus_replication -- Chemokin_secretion
67,Virus_inside -- Virus_replication -- Chemokin_secretion
7160,<nil>
6210,<nil>
6999,<nil>
71,Virus_inside -- Virus_replication -- Chemokin_secretion
6072,<nil>
7341,<nil>
6491,Active
7095,<nil>
6495,<nil>
5381,Apoptotic_cell -- M2_Phenotype -- Active
7171,<nil>
7115,Apoptotic_cell -- M2_Phenotype -- Active
80,Virus_inside -- Virus_replication -- Chemokin_secretion
7374,<nil>
7443,<nil>
83,Virus_inside -- Virus_replication -- Chemokin_secretion
7456,<nil>
5637,Active
5115,<nil>
5625,Apoptotic_cell -- M2_Phenotype -- Active
7444,<nil>
7644,Active
5855,<nil>
91,Virus_inside -- Virus_replication -- Chemokin_secretion
7393,<nil>
7655,<nil>
94,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
7166,Active
96,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
97,Virus_inside -- Virus_replication
98,<nil>
99,<nil>
100,<nil>
101,<nil>
102,<nil>
103,<nil>
104,<nil>
105,<nil>
106,<nil>
107,<nil>
108,<nil>
109,<nil>
110,<nil>
7452,Active
112,<nil>
7288,<nil>
7349,<nil>
6843,<nil>
7165,<nil>
6587,<nil>
7220,Active
6735,<nil>
7050,<nil>
6507,<nil>
6555,<nil>
6803,<nil>
6627,<nil>
7384,Active
6590,<nil>
2644,<nil>
6460,Apoptotic_cell -- M2_Phenotype -- Active
6151,Apoptotic_cell -- M2_Phenotype -- Active
2490,Virus_inside -- Virus_replication -- Chemokin_secretion
5749,<nil>
6429,<nil>
7457,<nil>
7281,<nil>
7653,<nil>
1957,<nil>
6424,<nil>
7043,<nil>
5996,<nil>
7296,<nil>
5791,Apoptotic_cell -- M2_Phenotype -- Active
7629,<nil>
7169,Active
144,Virus_inside -- Virus_replication
7419,<nil>
146,Virus_inside
147,<nil>
148,<nil>
149,<nil>
150,<nil>
151,<nil>
152,<nil>
153,<nil>
154,<nil>
155,<nil>
156,Virus_inside -- Virus_replication
157,<nil>
158,<nil>
159,<nil>
160,Virus_inside -- Virus_replication -- Chemokin_secretion
7352,Phagocytosis -- Apoptotic_cell -- Active
7446,CD8_Tcell_activation -- Phagocytosis -- Apoptotic_cell
7242,Active
164,Virus_inside -- Virus_replication -- Chemokin_secretion
7046,<nil>
2154,<nil>
6337,<nil>
6678,Apoptotic_cell -- M2_Phenotype -- Active
6237,<nil>
6114,<nil>
6646,<nil>
2254,<nil>
6810,<nil>
5409,Apoptotic_cell -- M2_Phenotype -- Active
6890,Active
2060,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
2204,<nil>
6033,<nil>
7533,<nil>
7152,<nil>
7372,Phagocytosis -- Apoptotic_cell
2598,<nil>
6584,Active
2107,Virus_inside -- Virus_replication
6200,<nil>
6304,Active
7114,<nil>
6619,<nil>
6878,Active
6983,Active
6917,Active
192,Virus_inside
193,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
194,Virus_inside -- Virus_replication -- Chemokin_secretion
195,<nil>
196,<nil>
197,<nil>
198,<nil>
199,<nil>
200,Virus_inside -- Virus_replication
201,<nil>
202,<nil>
203,<nil>
204,<nil>
205,<nil>
206,<nil>
207,Virus_inside
208,Virus_inside -- Virus_replication -- Chemokin_secretion
7561,Apoptotic_cell -- M2_Phenotype -- Active
210,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
7108,<nil>
7501,<nil>
7335,<nil>
6919,<nil>
1910,<nil>
2057,<nil>
2773,<nil>
7181,Phagocytosis -- Apoptotic_cell -- Active
7295,Active
2653,<nil>
7416,<nil>
7339,Active
7306,<nil>
6313,<nil>
5747,CD8_Tcell_activation -- Apoptotic_cell -- M2_Phenotype -- Active
2399,<nil>
6023,<nil>
6563,<nil>
5123,Phagocytosis -- Apoptotic_cell -- Active
6564,<nil>
2602,<nil>
7664,<nil>
2401,<nil>
2537,Virus_inside -- Virus_replication -- Chemokin_secretion
5991,Apoptotic_cell -- M2_Phenotype -- Active
5719,<nil>
7238,Active
7312,<nil>
6642,<nil>
7135,<nil>
7595,<nil>
242,<nil>
7652,<nil>
244,<nil>
245,<nil>
246,<nil>
247,<nil>
248,<nil>
249,<nil>
250,<nil>
251,<nil>
252,<nil>
253,<nil>
254,<nil>
255,Virus_inside -- Virus_replication -- Chemokin_secretion
256,<nil>
257,Virus_inside -- Virus_replication -- Chemokin_secretion
7315,Active
7508,Apoptotic_cell -- M2_Phenotype -- Active
7488,<nil>
7556,Phagocytosis -- Apoptotic_cell
7004,<nil>
5966,<nil>
6095,<nil>
7481,Phagocytosis -- Apoptotic_cell
2788,<nil>
5879,<nil>
2447,<nil>
7590,Active
2507,<nil>
6949,<nil>
6060,Active
2775,<nil>
5709,Apoptotic_cell -- M2_Phenotype -- Active
6826,Active
5998,<nil>
6748,<nil>
5310,Apoptotic_cell -- M2_Phenotype -- Active
6149,<nil>
5542,<nil>
7593,Phagocytosis -- Apoptotic_cell
5179,<nil>
2307,Virus_inside -- Virus_replication -- Chemokin_secretion
7458,Phagocytosis -- Apoptotic_cell
7568,Active
7313,<nil>
7428,<nil>
7527,Active
6747,Active
7285,<nil>
291,Virus_inside -- Virus_replication
292,<nil>
293,<nil>
294,<nil>
295,<nil>
296,<nil>
297,<nil>
298,<nil>
299,Virus_inside
300,<nil>
301,Virus_inside -- Virus_replication
302,Virus_inside
7602,<nil>
304,Virus_inside -- Virus_replication -- Chemokin_secretion
305,Virus_inside -- Virus_replication
306,Virus_inside -- Virus_replication -- Chemokin_secretion
7535,Active
308,Virus_inside -- Virus_replication -- Chemokin_secretion
7219,<nil>
7459,Active
6852,<nil>
7435,<nil>
7460,<nil>
7367,<nil>
7654,<nil>
6987,Active
5986,Active
5245,<nil>
7298,<nil>
7503,Active
5831,<nil>
5222,Active
5726,Apoptotic_cell -- M2_Phenotype -- Active
6180,<nil>
5917,Active
2605,Virus_inside -- Virus_replication
7487,Active
6643,<nil>
6059,<nil>
7440,Active
6372,<nil>
2454,<nil>
2545,<nil>
6781,<nil>
335,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached -- Apoptosis_type_I
7499,<nil>
7610,<nil>
338,Virus_inside -- Virus_replication
339,<nil>
340,<nil>
341,<nil>
342,<nil>
343,<nil>
344,<nil>
345,<nil>
346,<nil>
347,<nil>
7540,<nil>
349,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
350,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
6162,Active
352,Virus_inside -- Virus_replication -- Chemokin_secretion
353,Virus_inside -- Virus_replication -- Chemokin_secretion
354,Virus_inside -- Virus_replication -- Chemokin_secretion
6996,<nil>
