ID,state
0,<nil>
1,<nil>
2,<nil>
3,<nil>
4,<nil>
5,<nil>
6,<nil>
7,<nil>
8,<nil>
9,<nil>
10,<nil>
11,Virus_inside -- Virus_replication -- Chemokin_secretion
8060,<nil>
13,<nil>
8168,Active
15,Virus_inside -- Virus_replication -- Chemokin_secretion
16,Virus_inside -- Virus_replication -- Chemokin_secretion
7366,<nil>
18,Virus_inside -- Virus_replication -- Chemokin_secretion
7482,Active
20,Virus_inside -- Virus_replication -- Chemokin_secretion
6231,<nil>
6273,<nil>
7819,<nil>
7874,<nil>
7096,Active
7073,<nil>
6721,Active
6966,<nil>
8054,Active
7783,CD8_Tcell_activation -- Phagocytosis -- Apoptotic_cell
5866,Apoptotic_cell -- M2_Phenotype -- Active
7756,<nil>
7355,<nil>
7971,<nil>
7857,<nil>
6500,<nil>
6704,<nil>
6828,<nil>
7235,Active
7940,Active
7754,Active
7900,<nil>
7707,<nil>
8082,Active
45,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
46,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
8053,<nil>
48,Virus_inside -- Virus_replication
49,<nil>
50,<nil>
51,<nil>
52,<nil>
53,<nil>
54,<nil>
55,<nil>
56,<nil>
57,<nil>
58,<nil>
59,<nil>
60,<nil>
61,<nil>
62,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
8026,<nil>
64,Virus_inside -- Virus_replication -- Chemokin_secretion
65,Virus_inside -- Virus_replication -- Chemokin_secretion
66,Virus_inside -- Virus_replication -- Chemokin_secretion
67,Virus_inside -- Virus_replication -- Chemokin_secretion
7160,<nil>
6210,<nil>
6999,<nil>
7777,<nil>
8058,<nil>
7341,<nil>
6491,Active
7095,<nil>
6495,<nil>
5381,Apoptotic_cell -- M2_Phenotype -- Active
7171,<nil>
7115,Apoptotic_cell -- M2_Phenotype -- Active
80,Virus_inside -- Virus_replication -- Chemokin_secretion
7374,<nil>
7938,<nil>
83,Virus_inside -- Virus_replication -- Chemokin_secretion
7932,Active
5637,Active
7964,<nil>
5625,Apoptotic_cell -- M2_Phenotype -- Active
7444,<nil>
7644,Active
8108,<nil>
7775,<nil>
8052,<nil>
8005,Active
7821,Active
7166,Active
7894,<nil>
97,Virus_inside -- Virus_replication -- Chemokin_secretion
98,<nil>
99,<nil>
100,<nil>
101,<nil>
102,<nil>
103,<nil>
104,<nil>
105,<nil>
106,<nil>
107,<nil>
108,<nil>
109,<nil>
110,<nil>
7452,Active
8001,Active
7288,<nil>
7349,<nil>
8048,<nil>
7165,<nil>
6587,<nil>
7220,Active
6735,<nil>
7727,<nil>
7678,<nil>
6555,<nil>
6803,<nil>
6627,<nil>
7731,Phagocytosis -- Apoptotic_cell
6590,<nil>
2644,<nil>
6460,Apoptotic_cell -- M2_Phenotype -- Active
6151,Apoptotic_cell -- M2_Phenotype -- Active
2490,Virus_inside -- Virus_replication -- Chemokin_secretion
5749,<nil>
6429,<nil>
8096,Active
7281,<nil>
7653,<nil>
1957,<nil>
6424,<nil>
7043,<nil>
5996,<nil>
7296,<nil>
5791,Apoptotic_cell -- M2_Phenotype -- Active
7629,<nil>
7169,Apoptotic_cell -- M2_Phenotype -- Active
144,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
8120,Active
146,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
147,<nil>
148,<nil>
149,<nil>
150,<nil>
151,<nil>
152,<nil>
153,<nil>
154,<nil>
155,<nil>
8078,<nil>
157,Virus_inside -- Virus_replication -- Chemokin_secretion
158,<nil>
159,<nil>
7677,<nil>
7352,Apoptotic_cell -- M2_Phenotype -- Active
7446,Phagocytosis -- Apoptotic_cell
8150,Active
7746,Active
7046,<nil>
2154,<nil>
7974,Phagocytosis -- Apoptotic_cell
6678,Apoptotic_cell -- M2_Phenotype -- Active
6237,<nil>
6114,<nil>
6646,<nil>
2254,Virus_inside -- Virus_replication
7963,<nil>
5409,Apoptotic_cell -- M2_Phenotype -- Active
7813,Active
8074,Phagocytosis -- Apoptotic_cell
2204,<nil>
6033,<nil>
7680,Active
7853,<nil>
7372,Phagocytosis -- Apoptotic_cell
2598,<nil>
6584,Active
2107,Virus_inside -- Virus_replication -- Chemokin_secretion
6200,<nil>
6304,Active
7114,<nil>
6619,<nil>
6878,Active
7696,<nil>
6917,Active
7914,<nil>
7859,<nil>
7788,Active
195,<nil>
196,<nil>
197,<nil>
198,<nil>
199,<nil>
8056,Active
201,<nil>
202,<nil>
203,<nil>
204,<nil>
205,Virus_inside -- Virus_replication -- Chemokin_secretion
8102,Active
7967,<nil>
208,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached -- Apoptosis_type_I
7876,<nil>
7676,<nil>
7108,<nil>
7979,Active
7335,<nil>
6919,<nil>
1910,<nil>
2057,<nil>
2773,Virus_inside -- Virus_replication -- Chemokin_secretion
7181,Apoptotic_cell -- M2_Phenotype -- Active
7751,Phagocytosis -- Apoptotic_cell -- Active
2653,<nil>
7416,<nil>
7339,Active
7306,<nil>
6313,<nil>
5747,Apoptotic_cell -- M2_Phenotype -- Active
2399,<nil>
6023,<nil>
6563,<nil>
5123,Apoptotic_cell -- M2_Phenotype -- Active
6564,<nil>
2602,<nil>
7664,<nil>
2401,<nil>
2537,Virus_inside -- Virus_replication -- Chemokin_secretion
5991,Apoptotic_cell -- M2_Phenotype -- Active
5719,<nil>
7962,Active
7312,<nil>
6642,<nil>
7135,<nil>
8012,Apoptotic_cell -- M2_Phenotype -- Active
242,<nil>
7652,<nil>
244,<nil>
245,<nil>
246,<nil>
247,<nil>
248,<nil>
249,<nil>
250,<nil>
251,<nil>
252,<nil>
253,Virus_inside -- Virus_replication
254,<nil>
8121,<nil>
256,Virus_inside -- Virus_replication
7951,<nil>
7315,Active
7828,<nil>
7488,<nil>
7556,Apoptotic_cell -- M2_Phenotype -- Active
7004,<nil>
5966,<nil>
8131,<nil>
7481,Phagocytosis -- Apoptotic_cell
2788,<nil>
5879,<nil>
2447,<nil>
7590,Active
2507,Virus_inside -- Virus_replication -- Chemokin_secretion
6949,<nil>
6060,Active
2775,<nil>
5709,CD8_Tcell_activation -- Apoptotic_cell -- M2_Phenotype -- Active
8170,<nil>
5998,<nil>
6748,<nil>
8081,Phagocytosis -- Apoptotic_cell
6149,<nil>
7706,Active
7593,Phagocytosis -- Apoptotic_cell
7939,<nil>
7855,<nil>
7458,Phagocytosis -- Apoptotic_cell -- Active
7568,Active
7960,<nil>
8019,<nil>
8188,<nil>
6747,Active
7285,<nil>
291,Virus_inside -- Virus_replication -- Chemokin_secretion -- Apoptosis_type_II
292,<nil>
293,<nil>
294,<nil>
295,<nil>
296,<nil>
297,<nil>
298,<nil>
299,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
300,<nil>
8025,Active
8130,Active
8024,<nil>
7973,<nil>
7912,Phagocytosis -- Apoptotic_cell -- Active
306,Virus_inside -- Virus_replication -- Chemokin_secretion
7535,Active
308,Virus_inside -- Virus_replication -- Chemokin_secretion
7219,<nil>
7459,Active
6852,<nil>
7807,Active
7460,<nil>
7765,<nil>
8145,<nil>
7922,<nil>
7895,<nil>
5245,<nil>
7298,<nil>
7503,Active
7740,<nil>
5222,Active
5726,Apoptotic_cell -- M2_Phenotype -- Active
6180,<nil>
5917,Active
8197,<nil>
8065,<nil>
6643,<nil>
6059,<nil>
7440,Active
6372,<nil>
2454,<nil>
2545,<nil>
6781,<nil>
7985,<nil>
7499,<nil>
7610,<nil>
8142,<nil>
339,<nil>
340,<nil>
341,Virus_inside -- Virus_replication -- Chemokin_secretion
342,<nil>
343,<nil>
344,<nil>
345,<nil>
346,<nil>
347,<nil>
7540,<nil>
349,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached -- Apoptosis_type_I
7675,<nil>
7726,<nil>
8099,<nil>
353,Virus_inside -- Virus_replication -- Chemokin_secretion
354,Virus_inside -- Virus_replication -- Chemokin_secretion
6996,<nil>
356,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
8067,Active
7995,<nil>
8126,<nil>
7633,<nil>
6516,Active
6736,Apoptotic_cell -- M2_Phenotype -- Active
7045,Phagocytosis -- Apoptotic_cell
2553,<nil>
7583,<nil>
5693,Active
2354,<nil>
8059,<nil>
2355,<nil>
6376,<nil>
7634,Active
8031,<nil>
