 -6.508621788030000E-003 , -3.713330268855000E-003
 -6.491432762144999E-003 ,  3.707127857205000E-003
 -5.894523239129999E-003 ,  4.611619663245000E-003
  6.919703865045000E-003 , -2.876538848879999E-003
 -6.508621788030000E-003 , -3.713330268855000E-003
 -6.491432762144999E-003 ,  3.707127857205000E-003
 -3.725400638579999E-003 ,  6.500963974005000E-003
  6.922270890210000E-003 ,  2.842144236360000E-003
  1.972153902060000E-003 ,  7.220734405515000E-003
  6.922270890210000E-003 ,  2.842144236360000E-003
  5.885036659244999E-003 ,  4.639611625664999E-003
 -6.491432762144999E-003 ,  3.707127857205000E-003
  3.025291043550000E-003 ,  6.853060504469999E-003
  6.529587453929999E-003 ,  3.657996577499999E-003
 -6.491432762144999E-003 ,  3.707127857205000E-003
 -7.245349775264999E-003 ,  1.888629417780000E-003
  5.299235916135000E-003 , -5.306054878229999E-003
 -3.725400638579999E-003 ,  6.500963974005000E-003
 -1.838934087750000E-003 , -7.254515075684999E-003
  1.885737789960000E-003 , -7.235613643755000E-003
  6.529587453929999E-003 ,  3.657996577499999E-003
 -1.838934087750000E-003 , -7.254515075684999E-003
  5.571932601764999E-003 , -5.041655432685000E-003
  5.040691285214999E-003 ,  5.570968541024999E-003
 -2.775189733050000E-003 , -6.949772380574999E-003
 -2.775189733050000E-003 , -6.949772380574999E-003
  7.046301557490000E-003 ,  2.514155254920000E-003
 -4.505356596795000E-003 ,  5.980523661825000E-003
 -6.957543754574999E-003 , -2.747095012665000E-003
  7.002929306024999E-003 ,  4.486568641665000E-003
 -2.239598322060000E-003 ,  7.146795279809999E-003
  2.838890907585000E-003 , -6.928722994019999E-003
 -2.239598322060000E-003 ,  7.146795279809999E-003
  7.264544677740000E-003 , -1.838639974590000E-003
  3.025291043550000E-003 ,  6.853060504469999E-003
  5.040691285214999E-003 ,  5.570968541024999E-003
  6.529587453929999E-003 ,  3.657996577499999E-003
 -4.606962490079999E-003 , -5.908030700684999E-003
